user_id,book_id,is_read,rating,is_reviewed
0,948,1,5,0
0,947,1,5,1
0,946,1,5,0
0,945,1,5,0
0,944,1,5,0
0,943,1,5,0
0,942,1,5,0
0,941,1,5,0
0,940,1,5,0
0,939,1,5,1
0,938,1,5,1
0,937,1,4,0
0,936,1,4,0
0,935,1,4,0
0,934,1,5,1
0,933,1,4,0
0,932,1,4,0
0,931,1,5,0
0,930,1,2,1
0,929,1,4,1
0,928,1,4,1
0,927,1,5,1
0,926,1,3,1
0,925,1,4,1
0,924,1,5,0
0,923,1,5,1
0,922,1,5,0
0,921,1,4,1
0,920,1,5,1
0,919,1,5,0
0,918,1,5,1
0,917,1,3,1
0,916,1,5,0
0,915,1,5,1
0,914,1,4,1
0,913,0,0,1
0,912,1,5,1
0,911,0,0,0
0,910,0,0,1
0,909,1,4,1
0,908,1,4,0
0,907,0,0,0
0,906,0,0,0
0,905,1,4,1
0,904,0,0,0
0,903,1,5,1
0,902,0,0,1
0,901,1,4,1
0,900,1,4,1
0,899,1,4,1
0,898,1,3,0
0,897,1,5,1
0,896,0,0,0
0,895,1,5,1
0,894,0,0,1
0,893,1,4,0
0,892,1,5,0
0,891,1,4,1
0,890,1,5,1
0,889,1,5,0
0,888,1,4,1
0,887,0,0,1
0,886,1,3,1
0,885,0,0,1
0,884,0,0,0
0,883,1,4,1
0,882,1,5,1
0,881,0,0,1
0,880,1,5,1
0,879,1,5,1
0,878,1,4,0
0,877,1,5,1
0,876,1,4,0
0,875,1,4,0
0,874,1,3,1
0,873,1,4,0
0,872,1,3,0
0,871,1,2,0
0,870,1,3,0
0,869,1,3,1
0,868,0,0,1
0,867,1,3,1
0,866,1,4,1
0,865,1,5,1
0,864,0,0,1
0,863,1,4,1
0,862,1,5,0
0,861,1,5,1
0,860,1,5,1
0,859,1,4,0
0,858,1,5,1
0,857,0,0,1
0,856,1,4,1
0,855,1,5,1
0,854,1,4,0
0,853,1,5,0
0,852,0,0,1
0,851,0,0,1
0,850,1,5,1
0,849,1,3,1
0,848,1,3,1
0,847,1,5,1
0,846,1,5,1
0,845,1,4,1
0,844,1,3,0
0,843,1,3,0
0,842,1,3,0
0,841,1,4,1
0,840,1,5,1
0,839,1,5,0
0,838,1,5,1
0,837,1,4,0
0,836,1,4,1
0,835,0,0,1
0,834,1,4,1
0,833,1,2,0
0,832,1,4,0
0,831,1,5,1
0,830,1,4,1
0,829,1,5,1
0,828,1,5,0
0,827,1,4,0
0,826,1,4,1
0,825,1,5,0
0,824,1,5,1
0,823,1,3,1
0,822,0,0,1
0,821,1,5,0
0,820,1,4,1
0,819,1,4,1
0,818,1,3,1
0,817,1,3,1
0,816,1,4,1
0,815,0,0,1
0,814,0,0,0
0,813,1,4,1
0,812,1,4,1
0,811,1,5,1
0,810,1,2,0
0,809,1,5,0
0,808,1,3,0
0,807,1,4,1
0,806,1,4,1
0,805,1,4,1
0,804,1,5,1
0,803,1,4,1
0,802,1,3,1
0,801,1,5,0
0,800,1,3,1
0,799,1,4,1
0,798,1,3,1
0,797,1,3,0
0,796,0,0,0
0,795,1,4,1
0,794,0,0,1
0,793,1,4,0
0,792,0,0,0
0,791,0,0,0
0,790,1,5,0
0,789,1,5,0
0,788,1,4,0
0,787,1,5,0
0,786,1,5,0
0,785,1,2,0
0,784,1,5,1
0,783,1,4,1
0,782,1,3,1
0,781,1,4,1
0,780,1,4,1
0,779,1,4,1
0,778,1,4,1
0,777,1,4,1
0,776,1,0,0
0,775,0,0,1
0,774,0,0,0
0,773,1,3,0
0,772,1,5,0
0,771,1,4,0
0,770,1,4,0
0,769,0,0,1
0,768,1,5,0
0,767,1,4,0
0,766,1,3,1
0,765,1,5,0
0,764,1,5,0
0,763,0,0,1
0,762,1,4,1
0,761,1,5,1
0,760,1,3,0
0,759,1,4,0
0,758,1,4,0
0,757,1,3,0
0,756,0,0,0
0,755,1,3,1
0,754,0,0,1
0,753,0,0,1
0,752,1,5,1
0,751,0,0,1
0,750,1,5,0
0,749,1,3,0
0,748,1,4,0
0,747,1,3,0
0,746,1,3,0
0,745,1,2,0
0,744,1,1,1
0,743,1,3,0
0,742,1,5,0
0,741,1,4,0
0,740,1,2,0
0,739,1,4,1
0,738,0,0,0
0,737,1,5,1
0,736,0,0,0
0,735,0,0,1
0,734,1,4,1
0,733,1,4,1
0,732,0,0,0
0,731,1,4,0
0,730,1,4,1
0,729,1,4,1
0,728,1,4,1
0,727,1,4,1
0,726,1,3,1
0,725,0,0,1
0,724,0,0,0
0,723,1,5,1
0,722,0,0,0
0,721,1,5,0
0,720,0,0,0
0,719,1,3,1
0,718,0,0,0
0,717,1,0,0
0,716,1,4,0
0,715,1,5,1
0,714,0,0,0
0,713,1,5,0
0,712,1,5,0
0,711,1,5,0
0,710,0,0,0
0,709,0,0,1
0,708,0,0,0
0,707,1,4,1
0,706,1,5,1
0,705,0,0,1
0,704,1,5,0
0,703,1,4,1
0,702,1,5,0
0,701,0,0,1
0,700,1,5,1
0,699,1,4,0
0,698,1,4,0
0,697,1,4,0
0,696,1,5,1
0,695,1,4,1
0,694,0,0,0
0,693,0,0,1
0,692,0,0,0
0,691,1,4,0
0,690,1,3,0
0,689,1,5,1
0,688,0,0,0
0,687,1,4,1
0,686,0,0,1
0,685,1,4,1
0,684,1,4,1
0,683,0,0,0
0,682,0,0,0
0,681,1,5,0
0,680,1,5,0
0,679,1,5,0
0,678,1,5,0
0,677,1,5,0
0,676,1,5,0
0,675,1,5,0
0,674,0,0,0
0,673,1,5,1
0,672,1,4,1
0,671,1,4,0
0,670,1,5,0
0,669,1,5,0
0,668,1,5,0
0,667,1,3,0
0,666,0,0,0
0,665,1,3,0
0,664,1,3,0
0,663,1,3,0
0,662,1,3,0
0,661,1,3,0
0,660,1,3,0
0,659,1,3,0
0,658,1,3,0
0,657,1,3,0
0,656,1,3,0
0,655,1,3,0
0,654,1,3,0
0,653,0,0,0
0,652,1,3,0
0,651,0,0,0
0,650,0,0,0
